1	1.7266	0.4316	0.2466
2	1.3810	0.3452	0.2069
4	1.6325	0.0414	0.0544
6	1.6205	0.0436	0.0540
8	1.5969	0.0398	0.0532
10	1.6032	0.0429	0.0678
12	1.6772	0.0536	0.0688
16	1.8229	0.0589	0.0712
